,id,date,rawContent,cleaned_content,english_relative_frequency
12,613,2022-01-07 23:47:21+00:00,"तेज़ तूफ़ानी बारिश के बीच IGI Airport पौहुँचा हूँ, 4:55 Flight है Gujarat (Ahmedabad) की Coverage पर जा रहा हूँ।
यहाँ मुसाफ़िर बहुत परेशान नज़र आए। हवाई अड्डा कम बस अड्डा ज़्यादा मालूम दे रहा है। 
दोनों Vaccines लेने और सभी Tests के बाद भी मुसाफ़िरों को बहुत परेशान किया जा रहा है https://t.co/dX3YN7gKCe",igi airport 455 flight gujarat ahmedabad coverage vaccines tests,0.75
30,12831,2022-05-09 23:35:40+00:00,@DelhiJalBoard @KuldeepKumarAAP @DPCC_pollution @DelhiPwd @CMODelhi @LtGovDelhi Thank you and please resolve this ASAP because pani ka bhi loss ho raha h or logo ko pine ke pani ke liye suffer Krna pad raha h.,thank you and please resolve this asap because pani ka bhi loss ho raha h or logo ko pine ke pani ke liye suffer krna pad raha h,0.75
13,11814,2022-04-29 23:48:56+00:00,@BabbarNitish @aartic02 @ArvindKejriwal @DelhiJalBoard @delhijalboard1 @delhijalboard0 We need help please ask MLA and listen to public issue in Nagali vihar extension najafgarh.gater ka pani aa raha road nahi hai..DJB ka koi bhee ze and employees na dekhni atta hai complaint kai baad .they get salary it's enough for,we need help please ask mla and listen to public issue in nagali vihar extension najafgarh gater ka pani aa raha road nahi hai djb ka koi bhee ze and employees na dekhni atta hai complaint kai baad they get salary its enough for,0.75
98,22799,2022-08-16 21:42:54+00:00,@DeepBai08328573 Jai Maharaj Ji Ki,jai maharaj ji ki,0.75
4,10905,2022-04-20 23:58:11+00:00,Aap Sab Nu Hind Di Chadar  Sahib Sri guru Teg Bhadhur Sahib ji De 401 Saala Prakash Purab Diyan Beant Beant Wadayian Hon Ji 🙏🙏🙏🙏🙏🙏🙏🙏 https://t.co/aYdQYEdbSw,aap sab nu hind di chadar sahib sri guru teg bhadhur sahib ji de 401 saala prakash purab diyan beant beant wadayian hon ji,0.7391304347826086
88,14689,2022-05-27 21:34:02+00:00,"Jo mangey Thakur apney te
Soi soi deve💕

*मेरी तकदीर के मालिक, मेरी* *तकदीर तो तुम हो,* 
 *जो उभरी हैं सितारो पे, मेरी* *तस्वीर तुम हो।* 
 *यह दौलत, यह शोहरत, सफर* *श्मशान तक का हैं,* 
 *जो आखिर साथ जाना हैं, असल* *जागीर तो मेरे गुरू को तुम हो।* 

Jai Guru Ji https://t.co/pqo47O75p3",jo mangey thakur apney te soi soi deve jai guru ji,0.7272727272727273
49,9550,2022-04-06 23:07:23+00:00,Tweeter pe upasthit sabhi rashtrawadi aur hindutivuvadi dosto ko subh prabhat Jai mata di jai shree ram dosto please RT and like My tweets Jai mata di https://t.co/sfYmJF8L1m,tweeter pe upasthit sabhi rashtrawadi aur hindutivuvadi dosto ko subh prabhat jai mata di jai shree ram dosto please rt and like my tweets jai mata di,0.7037037037037037
76,4177,2022-02-11 21:53:37+00:00,Just posted a photo @ Sycorian Matrimonial Services Ltd https://t.co/7FKELiLR2c,just posted a photo sycorian matrimonial services ltd,0.75
66,267,2022-01-03 22:55:59+00:00,"1. Om Taarai Savaha (Maata Tara Daivi Kaa Mantra Hai)

Anger is one of the sinews of the soul. https://t.co/J0nuVWuoxf",1 om taarai savaha maata tara daivi kaa mantra hai anger is one of the sinews of the soul,0.7222222222222222
20,10521,2022-04-16 23:53:36+00:00,"@kausar_nargis Good Morning 🌄🌄
Happy 15th Roza",good morning happy 15th roza,0.75
5,5506,2022-02-25 23:53:40+00:00,What should be ahead of Natiional Intrest https://t.co/1XOaPvRzqs,what should be ahead of natiional intrest,0.7142857142857143
85,11186,2022-04-22 22:43:42+00:00,@Shiva5111999 Jay shree shanidevji ki,jay shree shanidevji ki,0.75
62,11363,2022-04-24 23:05:26+00:00,@ShakuntalaSahu0 @SaloniTilwani Happy Panchayati Raj Day,happy panchayati raj day,0.75
28,23229,2022-08-21 23:36:01+00:00,"Rangi saari by kavita seth is all that you need in life. 
Baki sab moh maya hai",rangi saari by kavita seth is all that you need in life baki sab moh maya hai,0.7058823529411765
47,18448,2022-07-04 22:15:31+00:00,I'm going in mirzapur https://t.co/HFIipD2W7V,im going in mirzapur,0.75
33,8234,2022-03-24 23:38:46+00:00,Up ek bar phir buldozar baba ke sarkar bahut bahut mubarak bad Jai shree ram https://t.co/qxi3drizZ7,up ek bar phir buldozar baba ke sarkar bahut bahut mubarak bad jai shree ram,0.7333333333333333
44,15045,2022-05-31 23:39:46+00:00,Just posted a photo @ Rishikesh River Rafting https://t.co/V7MA7jT6m0,just posted a photo rishikesh river rafting,0.7142857142857143
65,23966,2022-08-28 23:13:20+00:00,@KhalidJindan Happy emirati women day,happy emirati women day,0.75
22,11123,2022-04-22 23:43:37+00:00,@elonmusk Elon musk sir aap ka beta jawan hogaya hai baby dogecoin please listings,elon musk sir aap ka beta jawan hogaya hai baby dogecoin please listings,0.7692307692307693
61,23262,2022-08-21 22:58:19+00:00,"@aditiyadav000 Gali gali me shor hai , Tera baap Tonti Chor h",gali gali me shor hai tera baap tonti chor h,0.7
69,8170,2022-03-23 22:26:58+00:00,"@ReallySwara Thank God, you didn't comment on the murders and recent lynching of 8 people in WB.
Didi-didi moseri behne.",thank god you didnt comment on the murders and recent lynching of 8 people in wb didi didi moseri behne,0.7894736842105263
13,1214,2022-01-13 23:51:30+00:00,"@ssrajput288 @V_Choudhary_27 Jai mata di 🙏 shubh prabhat 🙏 mere bhai bandhu, 🙏Jai shree ram 🙏",jai mata di shubh prabhat mere bhai bandhu jai shree ram,0.7272727272727273
84,3185,2022-02-01 21:07:40+00:00,@Thapa4INC @TusharG Excellent Tribute to Bapu.,excellent tribute to bapu,0.75
26,12127,2022-05-02 23:33:24+00:00,"@PPBhaishri Vanakam Jai ShriKrishna Bhaishri 👣🙌🙇🙏❤️💐

Seeking blessings to get blessed with the topmost bhakti and prem towards the almighty and to our beloved Gurudev always, on the auspicious akshaya tritiya today.

Leaving to Sri VaikunthaNath temple to participate in palki seva https://t.co/7Rg851mUQh",vanakam jai shrikrishna bhaishri seeking blessings to get blessed with the topmost bhakti and prem towards the almighty and to our beloved gurudev always on the auspicious akshaya tritiya today leaving to sri vaikunthanath temple to participate in palki seva,0.75
38,439,2022-01-05 23:15:39+00:00,"15. Jaan bachaanie Hai tou Paisai dai dai. 
Yours faithfully
Ishwer Singh Gola
Date -6-1-2022 , Time:4:45 AM.",15 jaan bachaanie hai tou paisai dai dai yours faithfully ishwer singh gola date 6 1 2022 time445 am,0.7142857142857143
93,1394,2022-01-14 21:43:56+00:00,"जिंदगी

science की तरह

होती है...

जितने xperiments करोगे

Result उतने ही

Better मिलेंगे.

#TRUE",science xperiments result better,0.75
79,3580,2022-02-05 22:00:31+00:00,@Ptr6Vb Can't beleiv my eyes.,cant beleiv my eyes,0.75
60,1261,2022-01-13 22:46:12+00:00,@GautamK29230534 Jai Hind Jai Modi Jai Shri Ram 🚩,jai hind jai modi jai shri ram,0.7142857142857143
72,2373,2022-01-24 23:06:36+00:00,@SCERT2021 @Rajanish2007 @VKPathak1 Congratulations Entire Team SCERT .,congratulations entire team scert,0.75
47,1348,2022-01-14 22:33:26+00:00,All Sanghis are suspecting a Red under their bed https://t.co/htnTycl4iX,all sanghis are suspecting a red under their bed,0.7777777777777778
4,17005,2022-06-20 23:58:07+00:00,@AamAadmiParty @bmahabharat2 @SanjayAzadSln Shame on Vijay Vergiya.,shame on vijay vergiya,0.75
33,9234,2022-04-03 23:40:27+00:00,Jai rajputana jai maharanahttps://fb.watch/c9WuS5Mi3k/,jai rajputana jai maharana,0.75
74,6775,2022-03-09 22:29:50+00:00,@Salman_beelerl @Gwaska_01 @iam_suleeiman @KhaleephYakasai @el_uthmaan @Jamo_ismaila_ I'm stll a child 😭😭😭,im stll a child,0.75
41,5342,2022-02-23 23:04:49+00:00,"Untitled.

Shot in 2022, Manali.

#photography #monochromatic #drama #aesthetic #nikonphotography #SnowfallFX https://t.co/6dtkOA8kFv",untitled shot in 2022 manali,0.75
80,4381,2022-02-13 21:19:30+00:00,@troyb55 Awesome isn’t it? Stoked !!,awesome isnt it stoked,0.75
